,fname,label,fpath
0,4697206799_19dd2a3193_m.jpg,daisy,..datasets/photos/4697206799_19dd2a3193_m.jpg
1,4724713781_d169f98a35.jpg,daisy,..datasets/photos/4724713781_d169f98a35.jpg
2,4727955343_0bb23ac4ae.jpg,daisy,..datasets/photos/4727955343_0bb23ac4ae.jpg
3,4733590002_f6a70b4f48_n.jpg,daisy,..datasets/photos/4733590002_f6a70b4f48_n.jpg
4,4746633946_23933c0810.jpg,daisy,..datasets/photos/4746633946_23933c0810.jpg
5,4753134939_8e87649db6.jpg,daisy,..datasets/photos/4753134939_8e87649db6.jpg
6,4757448834_a29a9538c9_n.jpg,daisy,..datasets/photos/4757448834_a29a9538c9_n.jpg
7,476856232_7c35952f40_n.jpg,daisy,..datasets/photos/476856232_7c35952f40_n.jpg
8,476857510_d2b30175de_n.jpg,daisy,..datasets/photos/476857510_d2b30175de_n.jpg
9,4785888250_b661eac225_n.jpg,daisy,..datasets/photos/4785888250_b661eac225_n.jpg
10,4790631791_21e9648097_n.jpg,daisy,..datasets/photos/4790631791_21e9648097_n.jpg
11,4792826628_aa5e5a9804_n.jpg,daisy,..datasets/photos/4792826628_aa5e5a9804_n.jpg
12,4814515275_6e25a6c18f.jpg,daisy,..datasets/photos/4814515275_6e25a6c18f.jpg
13,4820415253_15bc3b6833_n.jpg,daisy,..datasets/photos/4820415253_15bc3b6833_n.jpg
14,4837182901_69a6cc782b_n.jpg,daisy,..datasets/photos/4837182901_69a6cc782b_n.jpg
15,4851353993_2cbbbd1040_n.jpg,daisy,..datasets/photos/4851353993_2cbbbd1040_n.jpg
16,4858518329_7563eb0baa_m.jpg,daisy,..datasets/photos/4858518329_7563eb0baa_m.jpg
17,4861391074_c3e122dab0_m.jpg,daisy,..datasets/photos/4861391074_c3e122dab0_m.jpg
18,4865691548_00319261b8.jpg,daisy,..datasets/photos/4865691548_00319261b8.jpg
19,488202750_c420cbce61.jpg,daisy,..datasets/photos/488202750_c420cbce61.jpg
20,4890424315_6a59696357_n.jpg,daisy,..datasets/photos/4890424315_6a59696357_n.jpg
21,4897587985_f9293ea1ed.jpg,daisy,..datasets/photos/4897587985_f9293ea1ed.jpg
22,4923279674_e7f8e70794_n.jpg,daisy,..datasets/photos/4923279674_e7f8e70794_n.jpg
23,495098110_3a4bb30042_n.jpg,daisy,..datasets/photos/495098110_3a4bb30042_n.jpg
